time,value,time,dayofweek,hour,Occupancy_State
2018-08-01 03:51:00,1,2018-08-01 03:51:00,2,3,1
2018-08-01 03:52:00,1,2018-08-01 03:52:00,2,3,1
2018-08-01 03:55:00,1,2018-08-01 03:55:00,2,3,1
2018-08-01 15:45:00,1,2018-08-01 15:45:00,2,15,1
2018-08-01 15:46:00,1,2018-08-01 15:46:00,2,15,1
2018-08-01 15:48:00,1,2018-08-01 15:48:00,2,15,1
2018-08-01 15:49:00,1,2018-08-01 15:49:00,2,15,1
2018-08-01 15:52:00,1,2018-08-01 15:52:00,2,15,1
2018-08-01 15:53:00,1,2018-08-01 15:53:00,2,15,1
2018-08-01 15:55:00,1,2018-08-01 15:55:00,2,15,1
2018-08-01 15:56:00,1,2018-08-01 15:56:00,2,15,1
2018-08-01 16:23:00,1,2018-08-01 16:23:00,2,16,1
2018-08-01 16:24:00,1,2018-08-01 16:24:00,2,16,1
2018-08-01 16:25:00,1,2018-08-01 16:25:00,2,16,1
2018-08-01 16:26:00,1,2018-08-01 16:26:00,2,16,1
2018-08-01 16:27:00,1,2018-08-01 16:27:00,2,16,1
2018-08-01 16:28:00,1,2018-08-01 16:28:00,2,16,1
2018-08-01 16:29:00,1,2018-08-01 16:29:00,2,16,1
2018-08-01 16:30:00,1,2018-08-01 16:30:00,2,16,1
2018-08-01 16:31:00,1,2018-08-01 16:31:00,2,16,1
2018-08-01 16:32:00,1,2018-08-01 16:32:00,2,16,1
2018-08-01 16:33:00,1,2018-08-01 16:33:00,2,16,1
2018-08-01 16:34:00,1,2018-08-01 16:34:00,2,16,1
2018-08-01 16:35:00,1,2018-08-01 16:35:00,2,16,1
2018-08-01 16:36:00,1,2018-08-01 16:36:00,2,16,1
2018-08-01 16:38:00,1,2018-08-01 16:38:00,2,16,1
2018-08-01 16:39:00,1,2018-08-01 16:39:00,2,16,1
2018-08-01 16:41:00,1,2018-08-01 16:41:00,2,16,1
2018-08-01 16:42:00,1,2018-08-01 16:42:00,2,16,1
2018-08-01 16:43:00,1,2018-08-01 16:43:00,2,16,1
2018-08-01 16:44:00,1,2018-08-01 16:44:00,2,16,1
2018-08-01 16:45:00,1,2018-08-01 16:45:00,2,16,1
2018-08-01 16:46:00,1,2018-08-01 16:46:00,2,16,1
2018-08-01 16:47:00,1,2018-08-01 16:47:00,2,16,1
2018-08-01 16:48:00,1,2018-08-01 16:48:00,2,16,1
2018-08-01 16:49:00,1,2018-08-01 16:49:00,2,16,1
2018-08-01 16:50:00,1,2018-08-01 16:50:00,2,16,1
2018-08-01 16:51:00,1,2018-08-01 16:51:00,2,16,1
2018-08-01 16:52:00,1,2018-08-01 16:52:00,2,16,1
2018-08-01 16:54:00,1,2018-08-01 16:54:00,2,16,1
2018-08-01 16:55:00,1,2018-08-01 16:55:00,2,16,1
2018-08-01 16:56:00,1,2018-08-01 16:56:00,2,16,1
2018-08-01 16:58:00,1,2018-08-01 16:58:00,2,16,1
2018-08-01 17:02:00,1,2018-08-01 17:02:00,2,17,1
2018-08-01 17:03:00,1,2018-08-01 17:03:00,2,17,1
2018-08-01 17:04:00,1,2018-08-01 17:04:00,2,17,1
2018-08-01 17:05:00,1,2018-08-01 17:05:00,2,17,1
2018-08-01 17:06:00,1,2018-08-01 17:06:00,2,17,1
2018-08-01 17:07:00,1,2018-08-01 17:07:00,2,17,1
2018-08-01 17:09:00,1,2018-08-01 17:09:00,2,17,1
2018-08-01 17:10:00,1,2018-08-01 17:10:00,2,17,1
2018-08-01 17:11:00,1,2018-08-01 17:11:00,2,17,1
2018-08-01 17:15:00,1,2018-08-01 17:15:00,2,17,1
2018-08-01 17:16:00,1,2018-08-01 17:16:00,2,17,1
2018-08-01 17:17:00,1,2018-08-01 17:17:00,2,17,1
2018-08-01 17:18:00,1,2018-08-01 17:18:00,2,17,1
2018-08-01 17:19:00,1,2018-08-01 17:19:00,2,17,1
2018-08-01 17:20:00,1,2018-08-01 17:20:00,2,17,1
2018-08-01 17:21:00,1,2018-08-01 17:21:00,2,17,1
2018-08-01 17:22:00,1,2018-08-01 17:22:00,2,17,1
